u,g,r,i,class
23.87882,22.2753,20.39501,19.16573,0
24.77759,22.83188,22.58444,21.16812,0
25.26307,22.66389,20.60976,19.34857,0
22.13682,23.77656,21.61162,20.50454,0
19.43718,17.58028,16.49747,15.97711,0
23.48827,23.33776,21.32195,20.25615,1
21.46973,21.17624,20.92829,20.60826,1
22.24979,22.02172,20.34126,19.48794,0
24.40286,22.35669,20.61032,19.4649,0
21.74669,20.03493,19.17553,18.81823,2
25.77163,22.52042,20.63884,19.78071,0
23.76761,23.79969,20.98318,19.80745,0
23.17274,20.14496,19.41948,19.22034,2
20.8294,18.75091,17.51118,17.01631,0
23.20911,22.79291,22.08589,21.86282,0
24.8868,22.13311,20.44728,19.49171,0
24.5489,21.44267,20.95315,20.7936,2
20.38562,20.40514,20.29996,20.05918,1
21.82154,20.5573,19.94918,19.76057,2
20.48292,18.67807,17.6168,17.11936,0
22.13367,20.84772,18.96537,18.31696,0
24.54793,22.33601,20.92259,19.87177,2
25.44243,20.77028,19.6617,19.08481,0
21.73992,21.53095,21.26763,21.36257,1
18.88323,17.54229,17.01789,16.75376,0
21.2611,20.50495,18.36379,23.17828,0
25.98497,21.31456,19.61107,18.83178,0
25.46577,22.4065,21.43408,20.26256,0
20.53324,18.84066,18.05369,17.60397,0
20.15491,18.37295,17.31276,16.82294,0
24.36048,20.3777,18.53392,17.84004,0
23.08039,22.02426,20.80525,19.90149,0
23.73066,22.82349,21.32414,19.81448,0
21.89214,21.35124,21.18755,20.843,1
22.88916,21.63309,20.06106,19.13263,0
23.8628,22.7784,20.98458,19.70143,0
24.06677,23.00891,21.0967,20.12869,0
20.71552,18.85877,17.72017,17.24668,0
20.66654,22.21825,24.8026,21.43702,2
22.42006,21.26692,19.40369,18.74999,0
21.20149,19.77107,19.27176,19.04226,2
25.52618,22.45513,21.82048,20.83807,0
23.27982,20.35433,18.79782,18.13757,0
27.0971,22.56329,20.61106,19.698,0
22.26849,21.88272,19.86473,18.81373,0
22.33744,20.02736,19.2826,19.04074,2
22.79262,22.29579,22.23841,21.55672,0
22.36261,21.7106,21.5963,21.60179,1
21.90143,21.79169,21.44344,21.25545,1
24.91692,21.27143,19.59078,18.90489,0
23.01294,20.46514,18.83662,18.16925,0
21.65936,21.73216,21.61713,21.60229,1
22.92673,23.03158,22.75313,21.40591,0
22.7706,22.25927,20.1723,19.13553,0
22.29616,20.17357,18.60767,17.99611,0
21.78552,21.67436,21.9174,20.55012,0
22.72659,22.31748,20.5118,19.45051,0
20.75533,18.52615,17.34166,16.82644,0
25.519,22.20538,20.10958,19.10345,0
24.82672,21.61567,19.70549,18.88857,0
22.83827,19.99337,18.49053,17.86074,0
25.19646,21.77507,20.79209,19.86567,0
19.1855,18.02785,17.46046,17.14015,0
22.14838,20.87264,19.02323,18.41182,0
25.1444,22.24196,20.59213,19.56918,0
20.64171,18.761,17.38466,16.83926,0
19.6081,18.12493,17.494,17.12954,0
22.08841,19.65585,18.15532,17.59347,0
25.9803,21.89943,20.07695,19.12181,0
22.74328,22.04119,21.13037,19.93169,0
22.11101,19.30047,17.9669,17.3835,0
21.77434,21.65529,21.77547,21.72382,1
20.87676,20.61914,20.55744,20.54716,1
18.75124,17.35669,16.6507,16.25624,0
20.53318,20.37871,20.16658,20.12587,1
22.864,20.99637,20.77479,20.60149,2
24.3689,24.89395,23.60455,22.12098,0
23.96082,20.7098,19.48951,18.539,0
23.78648,22.61023,19.79689,18.18796,2
24.59952,21.29358,19.79466,18.96994,0
22.70525,22.38366,22.10573,22.19179,1
25.72517,22.3239,20.83764,19.82272,0
25.10932,23.02978,21.6433,20.57167,2
23.33354,22.08951,21.85797,22.16238,1
23.13947,21.44235,20.37401,19.22886,0
20.16308,19.48441,19.33299,19.2896,1
21.25551,21.1894,20.11088,19.40883,0
20.49408,20.2065,20.22691,20.19625,1
22.21266,20.47113,18.82083,18.18008,0
22.25522,20.6308,19.96252,19.69811,2
20.64593,19.19186,18.71879,18.54982,0
24.80904,24.19171,22.57484,19.67837,2
26.30048,22.7609,20.80001,19.7631,0
24.42061,20.62309,18.91562,18.34712,0
23.59629,22.13309,20.78996,19.82567,0
23.93912,22.92743,21.78178,20.69582,0
21.8015,18.61152,17.18664,16.54847,2
25.08139,22.03635,21.83119,21.71758,2
21.23949,20.39086,20.35097,20.25421,1
25.76758,22.40062,20.49454,19.55738,0
22.40024,22.38897,20.59912,19.78579,0
22.33767,21.74014,20.67626,19.84993,0
23.83978,22.87262,20.98026,19.61335,0
21.66945,19.51412,18.1168,17.60705,0
25.01055,25.68188,22.08467,20.87707,0
22.83775,22.53633,21.14728,20.04436,0
21.29609,19.22355,17.69948,17.08743,0
20.22819,20.18983,19.53547,19.50299,1
21.27749,20.74533,20.38233,20.25976,1
17.95408,16.60142,15.99984,15.61901,0
24.67206,22.2909,20.96209,19.79067,0
24.91774,20.74357,18.8595,18.18621,0
21.48696,19.95936,19.76283,18.92081,0
23.19134,22.69088,21.71342,21.21746,0
23.68024,22.93109,22.38346,21.54711,0
20.71064,20.22823,19.8522,19.59367,1
24.64835,22.00048,21.63793,21.72727,1
21.94553,21.44538,19.54981,18.87251,0
21.26236,20.68755,20.53071,20.42182,1
22.25055,20.72246,20.20829,19.9893,2
25.10085,22.3726,20.71808,19.5564,0
22.65379,22.52258,21.95554,21.85023,1
24.70554,22.40585,20.81726,19.85176,0
21.8857,20.22803,19.60719,19.38448,2
22.75972,22.33138,20.81303,19.78445,0
24.52573,24.56507,21.85904,20.6003,0
22.79176,22.59233,21.50218,20.39903,0
18.18608,18.04931,17.75193,17.73256,1
19.2641,17.77944,17.10706,16.82521,2
23.03303,21.09544,19.1943,18.51469,0
21.71327,19.96071,18.68786,18.17053,0
20.32781,19.06632,18.47048,18.13985,0
24.43789,22.70037,21.57567,20.50386,0
19.28256,17.57086,16.79196,16.39657,0
18.6783,18.56849,18.28917,18.21018,1
21.55951,19.98315,18.36173,17.77722,0
27.10127,21.44564,19.76561,18.72035,0
22.53234,21.49669,19.64375,18.98023,0
23.2733,22.18751,20.6321,19.74818,0
23.66623,21.46025,19.74733,18.76491,0
23.04723,22.91427,22.99111,22.17126,0
21.96245,19.88753,18.29062,17.68828,0
18.92981,17.81624,17.39396,17.10856,0
22.87967,21.90276,22.01376,21.87333,1
21.94906,19.48184,18.09411,16.86405,2
23.64582,22.5292,21.11902,19.68053,0
19.75519,18.16221,17.35794,16.94063,0
25.40071,21.92014,19.56422,18.92485,0
19.77462,18.29778,17.87563,17.65845,0
24.98477,21.998,20.30022,18.3646,2
26.25848,21.962,20.22898,19.7197,0
20.54891,18.77037,17.51467,17.01419,0
24.36881,22.74608,20.75183,19.90575,0
17.84751,16.52499,15.95014,15.68786,2
24.38507,21.25443,19.49255,18.78668,0
25.72364,23.03721,21.04014,19.72521,0
20.63578,20.41439,20.31782,20.00517,1
24.45142,21.51859,20.46167,19.93067,2
23.33889,21.98714,20.46255,19.46317,0
25.25439,22.75798,21.25602,20.01969,0
27.15929,22.70051,21.00303,19.87887,0
21.5802,20.57191,20.3905,20.20049,1
22.45479,21.62992,21.44386,21.35073,2
22.55764,23.12675,21.87608,20.6733,0
19.15626,17.8138,16.79765,16.2748,1
22.79371,22.47182,21.2807,20.13826,0
19.75681,18.48689,17.47693,16.9563,0
19.39632,17.27617,16.17484,15.65449,0
25.62371,22.70023,21.12361,19.93859,0
22.92909,22.60838,20.95995,19.55458,2
27.36843,22.43094,20.83237,19.63248,0
21.7794,20.64518,18.97875,18.36097,0
22.59323,22.02358,21.86487,21.92594,1
18.98802,17.92512,17.56229,17.41123,2
20.67499,19.86842,19.77686,19.74236,1
20.16698,20.08098,20.14427,19.85855,1
21.83943,21.77629,20.60705,19.80544,0
20.56053,18.51112,17.4491,16.99342,0
24.55362,21.62312,20.58913,19.78403,0
22.54264,21.88185,20.5309,19.73092,0
22.57449,22.28132,20.28931,19.36939,0
20.18216,18.35232,17.27345,16.83153,0
25.32373,22.30239,20.49459,19.5481,0
22.24721,19.30773,17.92509,17.39431,0
23.20142,21.65676,20.38945,19.48816,2
25.2542,22.60953,21.0792,19.95091,0
22.64225,20.81143,19.0024,18.40315,0
21.62115,21.34279,20.16104,18.65479,2
21.00585,19.00955,17.46504,16.80119,0
23.53811,23.37748,21.15316,19.82874,0
23.20226,24.53431,23.82936,22.09652,0
20.23238,19.24946,19.04356,18.94587,2
20.32845,19.4245,19.06592,18.87761,2
22.75712,22.79135,22.28076,21.63456,0
24.20276,21.75866,20.16875,19.16595,0
22.23756,22.52513,20.68222,19.46133,0
22.93348,20.57471,18.853,18.21338,0
22.41543,22.18979,20.56977,19.67478,0
18.45179,16.53581,15.60624,15.17542,0
19.01066,17.92526,17.26291,16.91928,0
20.40665,18.22079,17.13235,16.68729,0
20.85931,19.81905,19.72314,19.69964,2
16.58941,15.12915,14.56525,14.38807,2
18.25378,16.58313,15.89249,15.52189,0
21.64464,18.87211,17.81801,17.34803,0
19.3772,17.42771,16.41689,16.00279,0
20.51585,20.24112,20.2057,19.90496,1
21.52916,21.66393,21.72251,21.77715,1
22.12341,21.55746,20.58542,19.85185,0
22.28893,21.60472,21.37432,21.39408,1
23.03421,21.76178,20.05691,18.89577,0
26.19394,23.96235,21.2559,19.88415,0
20.14869,19.24574,18.69993,18.42369,0
24.28438,21.98381,20.70392,19.78396,0
18.27611,17.07667,16.60136,16.33783,0
19.03692,17.14964,16.19931,15.74957,0
20.41988,18.59942,17.66353,17.25764,0
19.26509,18.22012,17.82656,17.64138,2
22.92736,24.14672,21.71825,20.6274,0
23.76551,22.51311,20.61219,19.72001,0
25.42519,22.29782,20.52947,19.53461,0
22.59955,21.02378,19.52688,18.65291,0
22.99822,22.15485,22.08356,22.02047,1
24.46953,23.57676,21.76145,20.48442,0
24.88311,21.48462,19.59986,19.5388,1
21.45356,20.76791,20.82399,20.85721,1
22.98389,21.95733,20.58774,19.84794,0
20.77593,19.10901,18.82173,18.6787,2
20.03447,19.94801,19.77898,19.72773,1
20.71819,18.03484,16.90619,16.56785,2
24.74097,21.81865,21.38399,21.43681,0
24.7618,23.50528,22.25379,21.97982,0
23.65257,23.76629,22.90933,22.02259,0
18.78726,17.12819,16.40216,16.11632,2
25.02263,22.10707,20.36452,19.53686,0
25.22674,22.17591,20.46942,19.55645,0
21.30888,20.47238,20.39975,20.41795,1
19.23088,17.96239,17.82065,17.78402,2
19.05087,16.49607,14.96787,13.62782,2
21.84786,20.95987,20.85843,20.83487,2
22.32961,21.89431,21.73312,21.01897,1
19.34375,18.07431,17.60009,17.26951,0
19.27099,18.12522,17.67884,17.37751,0
19.51559,18.07312,17.21544,16.7948,0
21.51034,21.02409,21.08671,21.08473,2
24.02046,20.5104,18.75779,18.09334,0
24.69369,23.80136,21.80155,20.66028,1
21.74668,22.23314,21.68136,20.96259,0
21.97341,21.25766,21.89866,21.5234,0
20.3372,18.24108,17.39116,16.91535,0
19.55769,19.469,19.24376,19.25563,1
25.24017,22.72488,21.18456,19.22162,2
19.9559,19.75046,20.15038,20.38478,2
23.0005,20.61602,18.94409,18.32247,0
26.59091,21.09993,19.23971,18.57262,0
20.14127,18.32061,17.4176,16.9338,0
22.75185,21.70168,21.49237,21.54097,1
20.87844,19.43145,17.96036,17.33367,0
21.65404,21.56676,20.70138,19.81271,1
18.04481,17.11568,16.75286,16.61002,2
23.07223,21.48396,20.34187,19.62424,0
24.65833,24.68067,22.00761,20.91763,0
26.33056,21.62988,19.9664,19.04305,0
23.81485,22.98044,21.95543,20.54633,0
19.54506,18.97217,18.72278,18.64299,2
19.58494,19.71145,19.2975,19.19037,1
22.60694,22.7738,20.73783,19.62386,0
23.25148,22.47993,20.89256,19.90502,0
23.35156,23.0594,22.2878,21.48384,0
23.21531,20.82209,19.10903,18.48745,0
24.18559,24.28872,21.95005,20.68925,2
22.74399,21.17586,19.45796,18.723,0
22.10259,21.69923,20.61117,19.75168,0
21.52871,19.26029,17.79279,17.22842,0
22.85925,20.02035,18.46368,17.88627,0
20.36963,18.61764,17.52842,17.06794,0
19.82232,18.00122,17.18566,16.8113,0
23.33595,22.02624,21.38535,20.46042,0
22.62726,22.33977,22.47818,20.87365,0
25.15959,22.10259,20.4458,18.72549,2
20.77034,18.79863,17.60102,17.1183,0
21.91896,21.30166,21.41958,21.15269,1
21.08625,21.16819,20.86348,20.70051,1
21.85297,21.73966,20.70529,19.54745,0
19.9007,19.10365,18.86762,18.66237,0
26.11718,21.95147,21.06702,21.00998,2
22.56449,22.54556,20.78441,19.73407,0
25.98469,24.09011,22.3876,20.70866,0
24.38471,21.05876,19.31031,18.6544,0
21.97973,21.26751,19.98818,19.08841,0
23.29982,21.54473,20.67021,19.86138,0
19.55399,18.20431,17.75615,17.60063,2
20.21895,18.22567,17.26563,16.82078,0
23.94282,22.26192,20.45863,19.34155,0
22.26926,22.35695,21.92761,21.65333,1
22.23041,21.84103,21.02,20.74303,1
23.19861,21.06898,20.75031,20.74632,1
17.3051,15.40858,14.51289,14.0719,0
22.74142,20.29404,18.51784,17.88012,0
19.98815,17.85162,16.7891,16.35512,0
